filename,AcquisitionNumber,ImagePositionPatient,SeriesNumber,SliceLocation
1.3.12.2.1107.5.2.19.45698.201602120926403234774898,1,"[126.06896052458, -100.56379922207, -176.50401108332]",74,-230.63504872337
1.3.12.2.1107.5.2.19.45698.2016021209274619644375517,1,"[153.5627959738, -131.55835231122, -204.67201988764]",74,-280.73504901184
1.3.12.2.1107.5.2.19.45698.2016021209275381412075612,1,"[159.06156001188, -137.75726254757, -210.30562202998]",74,-290.75504737327
1.3.12.2.1107.5.2.19.45698.2016021209254991049574406,1,"[104.07389292814, -75.768160183987, -153.96960156031]",74,-190.55504964116
1.3.12.2.1107.5.2.19.45698.2016021209215875546473397,1,"[104.07389292814, -75.768160183987, -153.96960156031]",72,-190.55504964116
1.3.12.2.1107.5.2.19.45698.2016021209251625987974011,1,"[87.577593184489, -57.171427090726, -137.06879513331]",74,-160.49504889503
1.3.12.2.1107.5.2.19.45698.201602120926078409374516,1,"[109.57266078092, -81.967069943509, -159.60320370265]",74,-200.57504980102
1.3.12.2.1107.5.2.19.45698.2016021209215873980673394,1,"[104.07389292814, -75.768160183987, -153.96960156031]",72,-190.55504964116
1.3.12.2.1107.5.2.19.45698.2016021209272156562675267,1,"[142.56526026823, -119.16053231534, -193.40481560298]",74,-260.69504839712
1.3.12.2.1107.5.2.19.45698.2016021209265685251275008,1,"[131.56773219206, -106.76271088894, -182.13761322566]",74,-240.65505215664
1.3.12.2.1107.5.2.19.45698.2016021209260671413474474,1,"[109.57266078092, -81.967069943509, -159.60320370265]",74,-200.57504980102
1.3.12.2.1107.5.2.19.45698.2016021209254952465574350,1,"[104.07389292814, -75.768160183987, -153.96960156031]",74,-190.55504964116
1.3.12.2.1107.5.2.19.45698.2016021209265698262175026,1,"[131.56773219206, -106.76271088894, -182.13761322566]",74,-240.65505215664
1.3.12.2.1107.5.2.19.45698.2016021209261456766674645,1,"[115.07142863371, -88.16597970303, -165.23680584498]",74,-210.59504996088
1.3.12.2.1107.5.2.19.45698.2016021209251621411974006,1,"[87.577593184489, -57.171427090726, -137.06879513331]",74,-160.49504889503
1.3.12.2.1107.5.2.19.45698.201602120921338857873108,1,"[93.076359129924, -63.370340664944, -142.70239727564]",72,-170.51505036815
1.3.12.2.1107.5.2.19.45698.2016021209221712996273522,1,"[109.57266078092, -81.967069943509, -159.60320370265]",72,-200.57504980102
1.3.12.2.1107.5.2.19.45698.2016021209272935412675413,1,"[148.06403193571, -125.35944207486, -199.03841774531]",74,-270.7150506504
1.3.12.2.1107.5.2.19.45698.2016021209275412668775648,1,"[159.06156001188, -137.75726254757, -210.30562202998]",74,-290.75504737327
1.3.12.2.1107.5.2.19.45698.2016021209272146315675261,1,"[142.56526026823, -119.16053231534, -193.40481560298]",74,-260.69504839712
1.3.12.2.1107.5.2.19.45698.2016021209272922415675401,1,"[148.06403193571, -125.35944207486, -199.03841774531]",74,-270.7150506504
1.3.12.2.1107.5.2.19.45698.2016021209265664352974986,1,"[131.56773219206, -106.76271088894, -182.13761322566]",74,-240.65505215664
1.3.12.2.1107.5.2.19.45698.2016021209252391290274115,1,"[93.076359129924, -63.370340664944, -142.70239727564]",74,-170.51505036815
1.3.12.2.1107.5.2.19.45698.2016021209215078358673271,1,"[98.575125075358, -69.569246609769, -148.33599917956]",72,-180.53504698728
1.3.12.2.1107.5.2.19.45698.201602120927292873875371,1,"[148.06403193571, -125.35944207486, -199.03841774531]",74,-270.7150506504
1.3.12.2.1107.5.2.19.45698.2016021209215058775373251,1,"[98.575125075358, -69.569246609769, -148.33599917956]",72,-180.53504698728
1.3.12.2.1107.5.2.19.45698.2016021209260673512074478,1,"[109.57266078092, -81.967069943509, -159.60320370265]",74,-200.57504980102
1.3.12.2.1107.5.2.19.45698.2016021209251620298773999,1,"[87.577593184489, -57.171427090726, -137.06879513331]",74,-160.49504889503
1.3.12.2.1107.5.2.19.45698.2016021209263225963974746,1,"[120.57019648649, -94.364889462552, -170.87040894099]",74,-220.61505065693
1.3.12.2.1107.5.2.19.45698.2016021209251692573981,1,"[87.577593184489, -57.171427090726, -137.06879513331]",74,-160.49504889503
1.3.12.2.1107.5.2.19.45698.2016021209215038831273227,1,"[98.575125075358, -69.569246609769, -148.33599917956]",72,-180.53504698728
1.3.12.2.1107.5.2.19.45698.2016021209213298116073101,1,"[93.076359129924, -63.370340664944, -142.70239727564]",72,-170.51505036815
1.3.12.2.1107.5.2.19.45698.2016021209215853029273367,1,"[104.07389292814, -75.768160183987, -153.96960156031]",72,-190.55504964116
1.3.12.2.1107.5.2.19.45698.2016021209272123905775233,1,"[142.56526026823, -119.16053231534, -193.40481560298]",74,-260.69504839712
1.3.12.2.1107.5.2.19.45698.2016021209213314576673117,1,"[93.076359129924, -63.370340664944, -142.70239727564]",72,-170.51505036815
1.3.12.2.1107.5.2.19.45698.2016021209254211257274261,1,"[98.575125075358, -69.569246609769, -148.33599917956]",74,-180.53504698728
1.3.12.2.1107.5.2.19.45698.2016021209265692460575014,1,"[131.56773219206, -106.76271088894, -182.13761322566]",74,-240.65505215664
1.3.12.2.1107.5.2.19.45698.2016021209272882550675349,1,"[148.06403193571, -125.35944207486, -199.03841774531]",74,-270.7150506504
1.3.12.2.1107.5.2.19.45698.201602120926406980774913,1,"[126.06896052458, -100.56379922207, -176.50401108332]",74,-230.63504872337
1.3.12.2.1107.5.2.19.45698.2016021209263213340574736,1,"[120.57019648649, -94.364889462552, -170.87040894099]",74,-220.61505065693
1.3.12.2.1107.5.2.19.45698.2016021209215067132273260,1,"[98.575125075358, -69.569246609769, -148.33599917956]",72,-180.53504698728
1.3.12.2.1107.5.2.19.45698.2016021209263211060974732,1,"[120.57019648649, -94.364889462552, -170.87040894099]",74,-220.61505065693
1.3.12.2.1107.5.2.19.45698.2016021209212541989673013,1,"[87.577593184489, -57.171427090726, -137.06879513331]",72,-160.49504889503
1.3.12.2.1107.5.2.19.45698.2016021209263213600474737,1,"[120.57019648649, -94.364889462552, -170.87040894099]",74,-220.61505065693
1.3.12.2.1107.5.2.19.45698.2016021209215880476673400,1,"[104.07389292814, -75.768160183987, -153.96960156031]",72,-190.55504964116
1.3.12.2.1107.5.2.19.45698.2016021209261439044174621,1,"[115.07142863371, -88.16597970303, -165.23680584498]",74,-210.59504996088
1.3.12.2.1107.5.2.19.45698.201602120925429517574252,1,"[98.575125075358, -69.569246609769, -148.33599917956]",74,-180.53504698728
1.3.12.2.1107.5.2.19.45698.201602120925424197874243,1,"[98.575125075358, -69.569246609769, -148.33599917956]",74,-180.53504698728
1.3.12.2.1107.5.2.19.45698.2016021209254231935974285,1,"[98.575125075358, -69.569246609769, -148.33599917956]",74,-180.53504698728
1.3.12.2.1107.5.2.19.45698.2016021209254951658374349,1,"[104.07389292814, -75.768160183987, -153.96960156031]",74,-190.55504964116
1.3.12.2.1107.5.2.19.45698.2016021209275399331675636,1,"[159.06156001188, -137.75726254757, -210.30562202998]",74,-290.75504737327
1.3.12.2.1107.5.2.19.45698.2016021209254231478074281,1,"[98.575125075358, -69.569246609769, -148.33599917956]",74,-180.53504698728
1.3.12.2.1107.5.2.19.45698.2016021209212537431773007,1,"[87.577593184489, -57.171427090726, -137.06879513331]",72,-160.49504889503
1.3.12.2.1107.5.2.19.45698.2016021209212549468873024,1,"[87.577593184489, -57.171427090726, -137.06879513331]",72,-160.49504889503
1.3.12.2.1107.5.2.19.45698.2016021209215835709173344,1,"[104.07389292814, -75.768160183987, -153.96960156031]",72,-190.55504964116
1.3.12.2.1107.5.2.19.45698.2016021209261440636774630,1,"[115.07142863371, -88.16597970303, -165.23680584498]",74,-210.59504996088
1.3.12.2.1107.5.2.19.45698.2016021209254956083074364,1,"[104.07389292814, -75.768160183987, -153.96960156031]",74,-190.55504964116
1.3.12.2.1107.5.2.19.45698.2016021209265686297875011,1,"[131.56773219206, -106.76271088894, -182.13761322566]",74,-240.65505215664
1.3.12.2.1107.5.2.19.45698.2016021209272123701475232,1,"[142.56526026823, -119.16053231534, -193.40481560298]",74,-260.69504839712
1.3.12.2.1107.5.2.19.45698.2016021209263243398474770,1,"[120.57019648649, -94.364889462552, -170.87040894099]",74,-220.61505065693
1.3.12.2.1107.5.2.19.45698.201602120927468202475499,1,"[153.5627959738, -131.55835231122, -204.67201988764]",74,-280.73504901184
1.3.12.2.1107.5.2.19.45698.2016021209221668478873468,1,"[109.57266078092, -81.967069943509, -159.60320370265]",72,-200.57504980102
1.3.12.2.1107.5.2.19.45698.2016021209212525070572989,1,"[87.577593184489, -57.171427090726, -137.06879513331]",72,-160.49504889503
1.3.12.2.1107.5.2.19.45698.2016021209251621769074008,1,"[87.577593184489, -57.171427090726, -137.06879513331]",74,-160.49504889503
1.3.12.2.1107.5.2.19.45698.2016021209261437463674618,1,"[115.07142863371, -88.16597970303, -165.23680584498]",74,-210.59504996088
1.3.12.2.1107.5.2.19.45698.2016021209260715146074529,1,"[109.57266078092, -81.967069943509, -159.60320370265]",74,-200.57504980102
1.3.12.2.1107.5.2.19.45698.2016021209274637900275535,1,"[153.5627959738, -131.55835231122, -204.67201988764]",74,-280.73504901184
1.3.12.2.1107.5.2.19.45698.2016021209251637212974023,1,"[87.577593184489, -57.171427090726, -137.06879513331]",74,-160.49504889503
1.3.12.2.1107.5.2.19.45698.2016021209215049766573236,1,"[98.575125075358, -69.569246609769, -148.33599917956]",72,-180.53504698728
1.3.12.2.1107.5.2.19.45698.2016021209272173250075288,1,"[142.56526026823, -119.16053231534, -193.40481560298]",74,-260.69504839712
1.3.12.2.1107.5.2.19.45698.2016021209251594201073968,1,"[87.577593184489, -57.171427090726, -137.06879513331]",74,-160.49504889503
